,code,label
0,1,Pedal cycle
1,2,Motorcycle 50cc and under
2,3,Motorcycle 125cc and under
3,4,Motorcycle over 125cc and up to 500cc
4,5,Motorcycle over 500cc
5,8,Taxi/Private hire car
6,9,Car
7,10,Minibus (8 - 16 passenger seats)
8,11,Bus or coach (17 or more pass seats)
9,16,Ridden horse
10,17,Agricultural vehicle
11,18,Tram
12,19,Van / Goods 3.5 tonnes mgw or under
13,20,Goods over 3.5t. and under 7.5t
14,21,Goods 7.5 tonnes mgw and over
15,22,Mobility scooter
16,23,Electric motorcycle
17,90,Other vehicle
18,97,Motorcycle - unknown cc
19,98,Goods vehicle - unknown weight
20,-1,Data missing or out of range
